Principal,Gender,Bechalor,High School or Below,college,18.00 ⊢ 25.76,25.76 ⊢ 31.33,31.33 ⊢ 37.01,37.01 ⊢ 43.06,43.06 ⊢ 51.00,7.0,15.0,30.0
1000.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1
800.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0
1000.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,1
800.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,1
800.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1
1000.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1
1000.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1,0
800.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1,0
1000.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0
1000.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,1,0
1000.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0
800.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0
1000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1
1000.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,1
800.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0
1000.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1
800.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1
1000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1
800.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0
800.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0
1000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1
1000.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,1
1000.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1
800.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,1,0
800.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0
1000.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,1,0
1000.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1
1000.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,0
1000.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1,0
800.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,1,0
1000.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1
1000.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0,1
800.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0
800.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,1,0
800.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0
800.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0,1
1000.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1
1000.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1
800.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,0,0
800.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,1,0
1000.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0,1
1000.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1
1000.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1
800.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0,1
1000.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0
800.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0
1000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0
1000.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0
800.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1
1000.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,1
800.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1
800.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1
800.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1,0
800.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,1,0
1000.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0
800.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0
800.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,1
1000.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1
800.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0
1000.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0
800.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1
1000.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0
1000.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0
1000.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1
800.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0
1000.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,1
800.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0
800.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1
1000.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1
800.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0
1000.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1
1000.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0
800.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1,0
800.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1
1000.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0
1000.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1
800.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1,0
1000.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1
800.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,1,0
1000.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,1
1000.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0
1000.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0
1000.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1
1000.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1
1000.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0,1
1000.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0
800.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0
1000.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0
800.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0
800.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0
800.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,1,0
1000.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,0,0
1000.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1
800.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1
800.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1
1000.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0
800.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0
800.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0
1000.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1
800.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1,0
800.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1
1000.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0
800.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1
800.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1,0
1000.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,0,0
1000.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1
800.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,1,0
1000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0
800.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0
1000.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0
800.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1
800.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1
1000.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1
1000.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1
800.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1,0
800.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1
800.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,1,0
800.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,1
800.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0
1000.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1
1000.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0
1000.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,1
1000.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1
800.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0
1000.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,1,0
1000.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1
1000.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1
800.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1
1000.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1
800.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1,0
800.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0
800.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0
1000.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1
1000.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,1
800.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1,0
1000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1
800.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1
1000.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1
1000.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1
1000.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1
1000.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0
1000.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1
1000.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0
1000.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1
800.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0
1000.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1
800.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,1,0
1000.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1
1000.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,1,0
